,french,latin,english,id
76,Bruant à calotte blanche,Emberiza leucocephalos,Pine Bunting,bruant.a.calotte.blanche
77,Bruant à couronne blanche,Zonotrichia leucophrys,White-crowned Sparrow,bruant.a.couronne.blanche
78,Bruant à gorge blanche,Zonotrichia albicollis,White-throated Sparrow,bruant.a.gorge.blanche
79,Bruant à sourcils jaunes,Emberiza chrysophrys,Yellow-browed Bunting,bruant.a.sourcils.jaunes
80,Bruant à tête rousse,Emberiza bruniceps,Red-headed Bunting,bruant.a.tete.rousse
81,Bruant auréole,Emberiza aureola,Yellow-breasted Bunting,bruant.aureole
82,Bruant cendrillard,Emberiza caesia,Cretzschmar's Bunting,bruant.cendrillard
83,Bruant de Pallas,Emberiza pallasi,Pallas's Reed Bunting,bruant.de.pallas
84,Bruant des neiges,Plectrophenax nivalis,Snow Bunting,bruant.des.neiges
85,Bruant des roseaux,Emberiza schoeniclus,Common Reed Bunting,bruant.des.roseaux
86,Bruant fou,Emberiza cia,Rock Bunting,bruant.fou
87,Bruant jaune,Emberiza citrinella,Yellowhammer,bruant.jaune
88,Bruant lapon,Calcarius lapponicus,Lapland Longspur,bruant.lapon
89,Bruant masqué,Emberiza spodocephala,Black-faced Bunting,bruant.masque
90,Bruant mélanocéphale,Emberiza melanocephala,Black-headed Bunting,bruant.melanocephale
91,Bruant nain,Emberiza pusilla,Little Bunting,bruant.nain
92,Bruant ortolan,Emberiza hortulana,Ortolan Bunting,bruant.ortolan
93,Bruant proyer,Emberiza calandra,Corn Bunting,bruant.proyer
94,Bruant roux,Emberiza rutila,Chestnut Bunting,bruant.roux
95,Bruant rustique,Emberiza rustica,Rustic Bunting,bruant.rustique
96,Bruant zizi,Emberiza cirlus,Cirl Bunting,bruant.zizi
97,Busard cendré,Circus pygargus,Montagu's Harrier,busard.cendre
98,Busard des roseaux,Circus aeruginosus,Western Marsh Harrier,busard.des.roseaux
99,Busard pâle,Circus macrourus,Pallid Harrier,busard.pale
100,Busard Saint-Martin,Circus cyaneus,Hen Harrier,busard.saint-martin
101,Buse féroce,Buteo rufinus,Long-legged Buzzard,buse.feroce
102,Buse pattue,Buteo lagopus,Rough-legged Buzzard,buse.pattue
103,Buse variable,Buteo buteo,Common Buzzard,buse.variable
104,Butor étoilé,Botaurus stellaris,Eurasian Bittern,butor.etoile
105,Caille des blés,Coturnix coturnix,Common Quail,caille.des.bles
106,Canard à front blanc,Mareca americana,American Wigeon,canard.a.front.blanc
107,Canard chipeau,Mareca strepera,Gadwall,canard.chipeau
108,Canard colvert,Anas platyrhynchos,Mallard,canard.colvert
109,Canard mandarin,Aix galericulata,Mandarin Duck,canard.mandarin
110,Canard noir,Anas rubripes,American Black Duck,canard.noir
111,Canard pilet,Anas acuta,Northern Pintail,canard.pilet
112,Canard siffleur,Mareca penelope,Eurasian Wigeon,canard.siffleur
113,Canard souchet,Spatula clypeata,Northern Shoveler,canard.souchet
114,Capucin bec-de-plomb,Euodice malabarica,Indian Silverbill,capucin.bec-de-plomb
115,Cardinal à poitrine rose,Pheucticus ludovicianus,Rose-breasted Grosbeak,cardinal.a.poitrine.rose
116,Cassenoix moucheté,Nucifraga caryocatactes,Spotted Nutcracker,cassenoix.mouchete
117,Chardonneret élégant,Carduelis carduelis,European Goldfinch,chardonneret.elegant
118,Chevalier à pattes jaunes,Tringa flavipes,Lesser Yellowlegs,chevalier.a.pattes.jaunes
119,Chevalier aboyeur,Tringa nebularia,Common Greenshank,chevalier.aboyeur
120,Chevalier arlequin,Tringa erythropus,Spotted Redshank,chevalier.arlequin
121,Chevalier bargette,Xenus cinereus,Terek Sandpiper,chevalier.bargette
122,Chevalier criard,Tringa melanoleuca,Greater Yellowlegs,chevalier.criard
123,Chevalier culblanc,Tringa ochropus,Green Sandpiper,chevalier.culblanc
124,Chevalier gambette,Tringa totanus,Common Redshank,chevalier.gambette
125,Chevalier grivelé,Actitis macularius,Spotted Sandpiper,chevalier.grivele
126,Chevalier guignette,Actitis hypoleucos,Common Sandpiper,chevalier.guignette
127,Chevalier semipalmé,Tringa semipalmata,Willet,chevalier.semipalme
